State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
EF,2023-07-25T10:28:00Z,Day,0,2023-07-25T10:28:11Z,2023-07-25T10:29:32Z,51.5757803795112,80.48
SU,2023-07-25T10:29:00Z,Day,0,2023-07-25T10:29:32Z,2023-07-25T10:30:21Z,1,48.66
EF,2023-07-25T10:30:00Z,Day,0,2023-07-25T10:30:21Z,2023-07-25T10:33:21Z,56.4380924675626,180.48
SU,2023-07-25T10:33:00Z,Day,0,2023-07-25T10:33:21Z,2023-07-25T10:34:03Z,1,41.5
F,2023-07-25T10:34:00Z,Day,1,2023-07-25T10:34:03Z,2023-07-25T10:38:47Z,60.1052528704626,284.16
SU,2023-07-25T10:38:00Z,Day,0,2023-07-25T10:38:47Z,2023-07-25T10:40:00Z,1,73.6999999999999
EF,2023-07-25T10:40:00Z,Day,0,2023-07-25T10:40:00Z,2023-07-25T10:44:36Z,56.8497143393146,275.7
SU,2023-07-25T10:44:00Z,Day,0,2023-07-25T10:44:36Z,2023-07-25T10:45:38Z,1,61.9999999999999
EF,2023-07-25T10:45:00Z,Day,0,2023-07-25T10:45:38Z,2023-07-25T10:49:33Z,64.2611320481781,235
