State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
F,2024-07-23T09:30:00Z,Day,1,2024-07-23T09:30:08Z,2024-07-23T09:31:21Z,57.0825,72.92
F,2024-07-23T09:31:00Z,Day,1,2024-07-23T09:31:21Z,2024-07-23T09:33:32Z,45.8033044433594,131.66
F,2024-07-23T09:33:00Z,Day,1,2024-07-23T09:33:33Z,2024-07-23T09:34:42Z,50.2263653564453,68.84
SU,2024-07-23T09:34:00Z,Day,0,2024-07-23T09:34:42Z,2024-07-23T09:35:25Z,1,43.52
F,2024-07-23T09:35:00Z,Day,1,2024-07-23T09:35:25Z,2024-07-23T09:37:47Z,60.7415667724609,141.46
SU,2024-07-23T09:37:00Z,Day,0,2024-07-23T09:37:47Z,2024-07-23T09:38:30Z,1,42.98
F,2024-07-23T09:38:00Z,Day,1,2024-07-23T09:38:30Z,2024-07-23T09:39:53Z,59.5732110595703,83.22
SU,2024-07-23T09:39:00Z,Day,0,2024-07-23T09:39:53Z,2024-07-23T09:40:19Z,1,26.34
EF,2024-07-23T09:40:00Z,Day,0,2024-07-23T09:40:19Z,2024-07-23T09:42:52Z,59.0724871826172,152.6
