State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
EF,2024-07-28T10:17:00Z,Day,0,2024-07-28T10:17:58Z,2024-07-28T10:19:55Z,56.7164,117.96012
EF,2024-07-28T10:19:00Z,Day,0,2024-07-28T10:19:57Z,2024-07-28T10:24:14Z,56.1519455329244,257.36
F,2024-07-28T10:24:00Z,Day,1,2024-07-28T10:24:15Z,2024-07-28T10:30:37Z,56.4747565586591,381.62
F,2024-07-28T10:30:00Z,Day,1,2024-07-28T10:30:38Z,2024-07-28T10:36:23Z,52.4975716806425,344.98
F,2024-07-28T10:36:00Z,Day,1,2024-07-28T10:36:24Z,2024-07-28T10:42:00Z,60.6414235953583,335.14
F,2024-07-28T10:42:00Z,Day,1,2024-07-28T10:42:01Z,2024-07-28T10:46:43Z,63.124240956097,282.06
F,2024-07-28T10:46:00Z,Day,1,2024-07-28T10:46:44Z,2024-07-28T10:53:19Z,62.140333245519,394.82
SU,2024-07-28T10:53:00Z,Day,0,2024-07-28T10:53:19Z,2024-07-28T10:54:15Z,1,56.0608000000002
F,2024-07-28T10:54:00Z,Day,1,2024-07-28T10:54:15Z,2024-07-28T10:58:54Z,64.9224,278.6184
