Tag_ID,UTC_Date,UTC_Time,Latitude,Longitude,LQ,HDOP,CNR,Sats,TimeOn(s),eRes,TempDeg,MinVolt,Curr(mA),ErrorRadius,SemiMajor,SemiMinor,Orientation
6883:198608,7/24/2023,11:41:15,41.081,-70.7603,,,,,,,,,,,,,
6883:198608,7/24/2023,12:06:00,41.12904,-70.82053,0,,,,,,,,,2214,3904,1255,139
6883:198608,7/24/2023,12:20:24,41.11502,-70.82477,B,,,,,,,,,11509,15017,8820,94
6883:198608,7/24/2023,12:33:20,41.14497,-70.7936,A,,,,,,,,,6448,18037,2304,126
