State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
F,2024-07-28T13:15:00Z,Day,1,2024-07-28T13:15:07Z,2024-07-28T13:19:37Z,78.8441,270.3204
F,2024-07-28T13:19:00Z,Day,1,2024-07-28T13:19:40Z,2024-07-28T13:24:51Z,58.2449755763292,310.62
SU,2024-07-28T13:24:00Z,Day,0,2024-07-28T13:24:51Z,2024-07-28T13:25:02Z,1,11.3000000000002
F,2024-07-28T13:25:00Z,Day,1,2024-07-28T13:25:02Z,2024-07-28T13:29:43Z,87.4892505347484,281.38
F,2024-07-28T13:29:00Z,Day,1,2024-07-28T13:29:46Z,2024-07-28T13:35:36Z,68.9179634804544,349.94
F,2024-07-28T13:35:00Z,Day,1,2024-07-28T13:35:37Z,2024-07-28T13:43:10Z,86.138882795351,452.42
SU,2024-07-28T13:43:00Z,Day,0,2024-07-28T13:43:10Z,2024-07-28T13:43:20Z,1,10.5799999999999
F,2024-07-28T13:43:00Z,Day,1,2024-07-28T13:43:20Z,2024-07-28T13:48:23Z,83.7443493689301,302.54
F,2024-07-28T13:48:00Z,Day,1,2024-07-28T13:48:26Z,2024-07-28T13:54:00Z,86.1273919485032,334.28
F,2024-07-28T13:54:00Z,Day,1,2024-07-28T13:54:03Z,2024-07-28T13:58:11Z,50.6039421708904,247.88
F,2024-07-28T13:58:00Z,Day,1,2024-07-28T13:58:13Z,2024-07-28T14:05:24Z,81.9076653290121,430.96
F,2024-07-28T14:05:00Z,Day,1,2024-07-28T14:05:28Z,2024-07-28T14:10:03Z,54.6685066201212,274.96
F,2024-07-28T14:10:00Z,Day,1,2024-07-28T14:10:05Z,2024-07-28T14:17:37Z,70.9666063902756,452.02
F,2024-07-28T14:17:00Z,Day,1,2024-07-28T14:17:39Z,2024-07-28T14:20:54Z,66.5481464862497,195.62
F,2024-07-28T14:20:00Z,Day,1,2024-07-28T14:20:56Z,2024-07-28T14:25:45Z,63.8579790282974,288.56
F,2024-07-28T14:25:00Z,Day,1,2024-07-28T14:25:47Z,2024-07-28T14:29:19Z,64.223787650092,211.3
F,2024-07-28T14:29:00Z,Day,1,2024-07-28T14:29:20Z,2024-07-28T14:34:29Z,53.857672048005,308.96
F,2024-07-28T14:34:00Z,Day,1,2024-07-28T14:34:30Z,2024-07-28T14:38:04Z,43.8986948825804,213.46
F,2024-07-28T14:38:00Z,Day,1,2024-07-28T14:38:05Z,2024-07-28T14:42:42Z,73.9678857885439,277.62
F,2024-07-28T14:42:00Z,Day,1,2024-07-28T14:42:44Z,2024-07-28T14:45:22Z,75.0653017501702,158.7
SU,2024-07-28T14:45:00Z,Day,0,2024-07-28T14:45:22Z,2024-07-28T14:45:33Z,1,10.8000000000002
F,2024-07-28T14:45:00Z,Day,1,2024-07-28T14:45:33Z,2024-07-28T14:48:00Z,57.7880283905853,147.28
F,2024-07-28T14:48:00Z,Day,1,2024-07-28T14:48:02Z,2024-07-28T14:51:12Z,53.5973555739753,190.940000000001
F,2024-07-28T14:51:00Z,Day,1,2024-07-28T14:51:13Z,2024-07-28T14:54:07Z,57.5413779073121,173.48
F,2024-07-28T14:54:00Z,Day,1,2024-07-28T14:54:08Z,2024-07-28T14:56:11Z,42.6965603249829,122.620000000001
F,2024-07-28T14:56:00Z,Day,1,2024-07-28T14:56:12Z,2024-07-28T14:58:21Z,42.8320465685388,129.059999999999
F,2024-07-28T14:58:00Z,Day,1,2024-07-28T14:58:22Z,2024-07-28T15:00:50Z,72.5075928082353,147.66
F,2024-07-28T15:00:00Z,Day,1,2024-07-28T15:00:51Z,2024-07-28T15:05:37Z,67.6519731586317,285.740000000002
F,2024-07-28T15:05:00Z,Day,1,2024-07-28T15:05:39Z,2024-07-28T15:09:33Z,38.9418410772784,233.68
SU,2024-07-28T15:09:00Z,Day,0,2024-07-28T15:09:33Z,2024-07-28T15:10:07Z,1,34.5159999999996
F,2024-07-28T15:10:00Z,Day,1,2024-07-28T15:10:07Z,2024-07-28T15:15:40Z,77.0135,332.244000000001
