State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
F,2024-07-27T14:30:00Z,Day,1,2024-07-27T14:30:39Z,2024-07-27T14:33:09Z,54.7011886279277,149.7
EF,2024-07-27T14:33:00Z,Day,0,2024-07-27T14:33:10Z,2024-07-27T14:34:21Z,33.0504577447399,71.5
F,2024-07-27T14:34:00Z,Day,1,2024-07-27T14:34:23Z,2024-07-27T14:36:15Z,40.0385575281806,111.5
F,2024-07-27T14:36:00Z,Day,1,2024-07-27T14:36:16Z,2024-07-27T14:39:00Z,49.0968756461515,164.4
SU,2024-07-27T14:39:00Z,Day,0,2024-07-27T14:39:00Z,2024-07-27T14:39:48Z,1,47.8000000000001
F,2024-07-27T14:39:00Z,Day,1,2024-07-27T14:39:48Z,2024-07-27T14:45:35Z,53.1396092869845,346.6
SU,2024-07-27T14:45:00Z,Day,0,2024-07-27T14:45:35Z,2024-07-27T14:47:01Z,1,85.8
F,2024-07-27T14:47:00Z,Day,1,2024-07-27T14:47:01Z,2024-07-27T14:52:29Z,52.1664523371689,328.6
SU,2024-07-27T14:52:00Z,Day,0,2024-07-27T14:52:29Z,2024-07-27T14:53:16Z,1,46.5999999999999
F,2024-07-27T14:53:00Z,Day,1,2024-07-27T14:53:16Z,2024-07-27T14:56:18Z,51.9150484816791,182.1
SU,2024-07-27T14:56:00Z,Day,0,2024-07-27T14:56:18Z,2024-07-27T14:57:40Z,1,81.8
F,2024-07-27T14:57:00Z,Day,1,2024-07-27T14:57:40Z,2024-07-27T15:01:49Z,48.7113419463453,249.6
SU,2024-07-27T15:01:00Z,Day,0,2024-07-27T15:01:49Z,2024-07-27T15:02:35Z,1,45.3999999999999
F,2024-07-27T15:02:00Z,Day,1,2024-07-27T15:02:35Z,2024-07-27T15:07:10Z,52.1461404125016,275.5
F,2024-07-27T15:07:00Z,Day,1,2024-07-27T15:07:11Z,2024-07-27T15:08:57Z,50.7926540513423,105.8
SU,2024-07-27T15:08:00Z,Day,0,2024-07-27T15:08:57Z,2024-07-27T15:10:09Z,1,72.4000000000001
F,2024-07-27T15:10:00Z,Day,1,2024-07-27T15:10:09Z,2024-07-27T15:16:06Z,51.1327855105074,356.4
SU,2024-07-27T15:16:00Z,Day,0,2024-07-27T15:16:06Z,2024-07-27T15:17:20Z,1,73.6999999999998
F,2024-07-27T15:17:00Z,Day,1,2024-07-27T15:17:20Z,2024-07-27T15:22:02Z,50.2998691975589,282.9
SU,2024-07-27T15:22:00Z,Day,0,2024-07-27T15:22:02Z,2024-07-27T15:23:59Z,1,117
F,2024-07-27T15:23:00Z,Day,1,2024-07-27T15:23:59Z,2024-07-27T15:26:50Z,50.6287800136539,170.6
SU,2024-07-27T15:26:00Z,Day,0,2024-07-27T15:26:50Z,2024-07-27T15:27:41Z,1,50.5
F,2024-07-27T15:27:00Z,Day,1,2024-07-27T15:27:41Z,2024-07-27T15:34:07Z,51.708240914289,386.2
SU,2024-07-27T15:34:00Z,Day,0,2024-07-27T15:34:07Z,2024-07-27T15:35:59Z,1,111.9
F,2024-07-27T15:35:00Z,Day,1,2024-07-27T15:35:59Z,2024-07-27T15:40:06Z,44.7702731973315,247.3
F,2024-07-27T15:40:00Z,Day,1,2024-07-27T15:40:08Z,2024-07-27T15:44:47Z,45.0589966603226,279.4
SU,2024-07-27T15:44:00Z,Day,0,2024-07-27T15:44:47Z,2024-07-27T15:46:07Z,1,80.3000000000002
F,2024-07-27T15:46:00Z,Day,1,2024-07-27T15:46:07Z,2024-07-27T15:47:38Z,28.0231205665087,90.9000000000005
SU,2024-07-27T15:47:00Z,Day,0,2024-07-27T15:47:38Z,2024-07-27T15:48:12Z,1,33.5999999999995
F,2024-07-27T15:48:00Z,Day,1,2024-07-27T15:48:12Z,2024-07-27T15:51:24Z,46.3782386865803,192
F,2024-07-27T15:51:00Z,Day,1,2024-07-27T15:51:25Z,2024-07-27T15:53:13Z,31.1956107530297,108.2
EF,2024-07-27T15:53:00Z,Day,0,2024-07-27T15:53:14Z,2024-07-27T15:54:01Z,22.3254370950892,46.6000000000004
F,2024-07-27T15:54:00Z,Day,1,2024-07-27T15:54:01Z,2024-07-27T15:55:37Z,26.9903879253494,95.7999999999993
SU,2024-07-27T15:55:00Z,Day,0,2024-07-27T15:55:37Z,2024-07-27T15:56:12Z,1,35.1000000000004
EF,2024-07-27T15:56:00Z,Day,0,2024-07-27T15:56:12Z,2024-07-27T15:57:55Z,44.3690082943303,102.5
SU,2024-07-27T15:57:00Z,Day,0,2024-07-27T15:57:55Z,2024-07-27T15:58:52Z,1,57.1000000000004
F,2024-07-27T15:58:00Z,Day,1,2024-07-27T15:58:52Z,2024-07-27T16:03:34Z,48.5933506212578,282.5
SU,2024-07-27T16:03:00Z,Day,0,2024-07-27T16:03:34Z,2024-07-27T16:04:17Z,1,42.8999999999996
F,2024-07-27T16:04:00Z,Day,1,2024-07-27T16:04:17Z,2024-07-27T16:06:37Z,43.2374810589081,140.2
SU,2024-07-27T16:06:00Z,Day,0,2024-07-27T16:06:37Z,2024-07-27T16:07:54Z,1,76.9000000000005
F,2024-07-27T16:07:00Z,Day,1,2024-07-27T16:07:54Z,2024-07-27T16:13:21Z,47.9125080081761,327.299999999999
EF,2024-07-27T16:13:00Z,Day,0,2024-07-27T16:13:23Z,2024-07-27T16:15:35Z,45.0699428512492,132.2
SU,2024-07-27T16:15:00Z,Day,0,2024-07-27T16:15:35Z,2024-07-27T16:16:57Z,1,82.4000000000005
F,2024-07-27T16:16:00Z,Day,1,2024-07-27T16:16:57Z,2024-07-27T16:19:19Z,36.9959908448907,141.9
SU,2024-07-27T16:19:00Z,Day,0,2024-07-27T16:19:19Z,2024-07-27T16:20:31Z,1,71.5
F,2024-07-27T16:20:00Z,Day,1,2024-07-27T16:20:31Z,2024-07-27T16:27:07Z,46.6581823005338,396.3
SU,2024-07-27T16:27:00Z,Day,0,2024-07-27T16:27:07Z,2024-07-27T16:28:24Z,1,77.1999999999998
F,2024-07-27T16:28:00Z,Day,1,2024-07-27T16:28:24Z,2024-07-27T16:33:50Z,38.1535957014233,325.5
SU,2024-07-27T16:33:00Z,Day,0,2024-07-27T16:33:50Z,2024-07-27T16:35:09Z,1,79.1999999999998
F,2024-07-27T16:35:00Z,Day,1,2024-07-27T16:35:09Z,2024-07-27T16:39:33Z,39.8534655777043,263.8
SU,2024-07-27T16:39:00Z,Day,0,2024-07-27T16:39:33Z,2024-07-27T16:41:09Z,1,96.6999999999998
F,2024-07-27T16:41:00Z,Day,1,2024-07-27T16:41:09Z,2024-07-27T16:45:35Z,37.9176574882865,265.4
SU,2024-07-27T16:45:00Z,Day,0,2024-07-27T16:45:35Z,2024-07-27T16:46:57Z,1,82.5
F,2024-07-27T16:46:00Z,Day,1,2024-07-27T16:46:57Z,2024-07-27T16:52:19Z,41.2823587298441,321.5
SU,2024-07-27T16:52:00Z,Day,0,2024-07-27T16:52:19Z,2024-07-27T16:54:26Z,1,126.800000000001
F,2024-07-27T16:54:00Z,Day,1,2024-07-27T16:54:26Z,2024-07-27T17:01:41Z,41.3130917175484,435.1
SU,2024-07-27T17:01:00Z,Day,0,2024-07-27T17:01:41Z,2024-07-27T17:03:06Z,1,85.1999999999989
F,2024-07-27T17:03:00Z,Day,1,2024-07-27T17:03:06Z,2024-07-27T17:08:59Z,42.498527960435,352.800000000001
SU,2024-07-27T17:08:00Z,Day,0,2024-07-27T17:08:59Z,2024-07-27T17:10:28Z,1,89.5999999999985
F,2024-07-27T17:10:00Z,Day,1,2024-07-27T17:10:28Z,2024-07-27T17:17:28Z,39.5675168168874,419.900000000001
