State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
T,2024-07-22T18:56:00Z,Day,0,2024-07-22T18:56:56Z,2024-07-22T19:01:23Z,31.4134758911982,266.38
T,2024-07-22T19:01:00Z,Day,0,2024-07-22T19:01:24Z,2024-07-22T19:02:48Z,22.3792145338373,84.36
SU,2024-07-22T19:02:00Z,Day,0,2024-07-22T19:02:48Z,2024-07-22T19:03:08Z,1,19.7199999999999
EF,2024-07-22T19:03:00Z,Day,0,2024-07-22T19:03:08Z,2024-07-22T19:04:32Z,37.3934058831752,84.2600000000001
F,2024-07-22T19:04:00Z,Day,1,2024-07-22T19:04:33Z,2024-07-22T19:07:07Z,28.0885377199744,154.52
