State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
EF,2023-07-31T09:02:00Z,Day,0,2023-07-31T09:02:50Z,2023-07-31T09:04:34Z,29.8607501048501,103.6
SU,2023-07-31T09:04:00Z,Day,0,2023-07-31T09:04:34Z,2023-07-31T09:04:49Z,1,15.4
F,2023-07-31T09:04:00Z,Day,1,2023-07-31T09:04:49Z,2023-07-31T09:07:29Z,26.9832000782985,160.32
SU,2023-07-31T09:07:00Z,Day,0,2023-07-31T09:07:29Z,2023-07-31T09:07:47Z,1,17.72
EF,2023-07-31T09:07:00Z,Day,0,2023-07-31T09:07:47Z,2023-07-31T09:10:30Z,27.033865638857,162.48
T,2023-07-31T09:10:00Z,Day,0,2023-07-31T09:10:30Z,2023-07-31T09:12:15Z,7.61965714033947,104.2
SU,2023-07-31T09:12:00Z,Day,0,2023-07-31T09:12:15Z,2023-07-31T09:13:05Z,1,50.36
EF,2023-07-31T09:13:00Z,Day,0,2023-07-31T09:13:05Z,2023-07-31T09:19:24Z,28.4684103611329,379.24
EF,2023-07-31T09:19:00Z,Day,0,2023-07-31T09:19:25Z,2023-07-31T09:21:26Z,26.8150001899651,120.6
SU,2023-07-31T09:21:00Z,Day,0,2023-07-31T09:21:26Z,2023-07-31T09:22:51Z,1,85.0799999999999
EF,2023-07-31T09:22:00Z,Day,0,2023-07-31T09:22:51Z,2023-07-31T09:26:11Z,28.1398395412847,199.8
SU,2023-07-31T09:26:00Z,Day,0,2023-07-31T09:26:11Z,2023-07-31T09:26:51Z,1,40.5200000000002
EF,2023-07-31T09:26:00Z,Day,0,2023-07-31T09:26:51Z,2023-07-31T09:33:44Z,32.7946936127488,413.16
SU,2023-07-31T09:33:00Z,Day,0,2023-07-31T09:33:44Z,2023-07-31T09:34:23Z,1,38.6400000000001
F,2023-07-31T09:34:00Z,Day,1,2023-07-31T09:34:23Z,2023-07-31T09:39:43Z,35.2788623421304,320.4
SU,2023-07-31T09:39:00Z,Day,0,2023-07-31T09:39:43Z,2023-07-31T09:40:08Z,1,24.3199999999997
EF,2023-07-31T09:40:00Z,Day,0,2023-07-31T09:40:08Z,2023-07-31T09:44:14Z,33.1802699587301,246.72
SU,2023-07-31T09:44:00Z,Day,0,2023-07-31T09:44:14Z,2023-07-31T09:44:56Z,1,42
EF,2023-07-31T09:44:00Z,Day,0,2023-07-31T09:44:56Z,2023-07-31T09:50:36Z,35.6866577282123,339.68
SU,2023-07-31T09:50:00Z,Day,0,2023-07-31T09:50:36Z,2023-07-31T09:51:03Z,1,26.9200000000001
F,2023-07-31T09:51:00Z,Day,1,2023-07-31T09:51:03Z,2023-07-31T09:56:47Z,36.0109989108307,344.16
