State,Time,Period,Lunge_y_n,Dive_Start,Dive_End,Dive_Max,Duration
F,2024-07-27T08:36:00Z,Day,1,2024-07-27T08:36:17Z,2024-07-27T08:37:30Z,45.8727111500226,72.9
F,2024-07-27T08:37:00Z,Day,1,2024-07-27T08:37:31Z,2024-07-27T08:38:54Z,64.6303610440238,82.88
SU,2024-07-27T08:38:00Z,Day,0,2024-07-27T08:38:54Z,2024-07-27T08:39:21Z,1,27.54
EF,2024-07-27T08:39:00Z,Day,0,2024-07-27T08:39:21Z,2024-07-27T08:41:42Z,84.9161072284357,140.3
EF,2024-07-27T08:41:00Z,Day,0,2024-07-27T08:41:42Z,2024-07-27T08:42:18Z,55.7994733771904,35.56
F,2024-07-27T08:42:00Z,Day,1,2024-07-27T08:42:18Z,2024-07-27T08:43:33Z,56.2306087417472,75.04
F,2024-07-27T08:43:00Z,Day,1,2024-07-27T08:43:34Z,2024-07-27T08:46:08Z,83.9766472553724,153.62
SU,2024-07-27T08:46:00Z,Day,0,2024-07-27T08:46:08Z,2024-07-27T08:47:20Z,1,71.74
F,2024-07-27T08:47:00Z,Day,1,2024-07-27T08:47:20Z,2024-07-27T08:48:19Z,59.4420520459967,59.0599999999999
SU,2024-07-27T08:48:00Z,Day,0,2024-07-27T08:48:19Z,2024-07-27T08:48:33Z,1,14.6800000000001
F,2024-07-27T08:48:00Z,Day,1,2024-07-27T08:48:33Z,2024-07-27T08:50:46Z,74.6517806712453,132.8
F,2024-07-27T08:50:00Z,Day,1,2024-07-27T08:50:47Z,2024-07-27T08:51:24Z,36.5411682775167,37.28
SU,2024-07-27T08:51:00Z,Day,0,2024-07-27T08:51:24Z,2024-07-27T08:51:54Z,1,30.08
F,2024-07-27T08:51:00Z,Day,1,2024-07-27T08:51:54Z,2024-07-27T08:53:54Z,87.2878843053561,119.6
SU,2024-07-27T08:53:00Z,Day,0,2024-07-27T08:53:54Z,2024-07-27T08:55:11Z,1,77.9200000000001
F,2024-07-27T08:55:00Z,Day,1,2024-07-27T08:55:11Z,2024-07-27T08:57:02Z,74.8496025347009,110.96
SU,2024-07-27T08:57:00Z,Day,0,2024-07-27T08:57:02Z,2024-07-27T08:57:42Z,1,39.6399999999999
F,2024-07-27T08:57:00Z,Day,1,2024-07-27T08:57:42Z,2024-07-27T08:59:37Z,70.0513386293092,115.3
SU,2024-07-27T08:59:00Z,Day,0,2024-07-27T08:59:37Z,2024-07-27T09:01:12Z,1,94.9200000000001
F,2024-07-27T09:01:00Z,Day,1,2024-07-27T09:01:12Z,2024-07-27T09:03:38Z,66.7834031530955,145.9
SU,2024-07-27T09:03:00Z,Day,0,2024-07-27T09:03:38Z,2024-07-27T09:04:14Z,1,35.7
F,2024-07-27T09:04:00Z,Day,1,2024-07-27T09:04:14Z,2024-07-27T09:06:17Z,90.2466574467725,123.56
SU,2024-07-27T09:06:00Z,Day,0,2024-07-27T09:06:17Z,2024-07-27T09:06:54Z,1,36.6799999999998
F,2024-07-27T09:06:00Z,Day,1,2024-07-27T09:06:54Z,2024-07-27T09:08:55Z,97.0785451098664,120.52
F,2024-07-27T09:08:00Z,Day,1,2024-07-27T09:08:55Z,2024-07-27T09:10:46Z,91.7396898042499,111.26
F,2024-07-27T09:10:00Z,Day,1,2024-07-27T09:10:47Z,2024-07-27T09:15:46Z,86.6343417392279,299.38
