Tag_ID,UTC_Date,UTC_Time,Latitude,Longitude,LQ,HDOP,CNR,Sats,TimeOn(s),eRes,TempDeg,MinVolt,Curr(mA),ErrorRadius,SemiMajor,SemiMinor,Orientation
6883:198608,7/25/2023,19:59:19,40.98519,-70.8408,,,,,,,,,,,,,
6883:198608,7/25/2023,21:43:47,40.83211,-70.82911,B,,,,,,,,,3514,59724,206,138
6883:198608,7/25/2023,22:22:06,40.86346,-70.88723,B,,,,,,,,,4230,7102,2519,131
6883:198608,7/25/2023,22:52:11,40.85568,-70.90276,B,,,,,,,,,4969,7233,3413,124
6883:198608,7/25/2023,22:56:04,40.87036,-71.03952,A,,,,,,,,,5360,90101,318,63
6883:198608,7/25/2023,23:13:22,40.89756,-70.92394,B,,,,,,,,,5088,7964,3250,108
6883:198608,7/25/2023,23:18:47,40.89264,-70.92573,B,,,,,,,,,3691,10546,1291,100
6883:198608,7/25/2023,23:21:53,40.90905,-71.03091,G,1.6,null,5,null,2.4,,,,,,,
6883:198608,7/25/2023,23:35:57,40.88789,-70.93644,B,,,,,,,,,1607,5455,473,100
