Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,4888.58,bp23_205c_prh50_auto.mat
5,10,6261.58,bp23_205c_prh50_auto.mat
10,15,1076.88,bp23_205c_prh50_auto.mat
15,20,495.92,bp23_205c_prh50_auto.mat
20,25,1121.42,bp23_205c_prh50_auto.mat
25,30,747.86,bp23_205c_prh50_auto.mat
30,35,728.7,bp23_205c_prh50_auto.mat
35,40,528.7,bp23_205c_prh50_auto.mat
40,45,556.58,bp23_205c_prh50_auto.mat
45,50,366.88,bp23_205c_prh50_auto.mat
50,55,235.46,bp23_205c_prh50_auto.mat
55,60,100.84,bp23_205c_prh50_auto.mat
60,65,22.62,bp23_205c_prh50_auto.mat
65,70,10.74,bp23_205c_prh50_auto.mat
70,75,18.36,bp23_205c_prh50_auto.mat
75,80,0,bp23_205c_prh50_auto.mat
80,85,0,bp23_205c_prh50_auto.mat
85,90,0,bp23_205c_prh50_auto.mat
90,95,0,bp23_205c_prh50_auto.mat
95,100,0,bp23_205c_prh50_auto.mat
