Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,32674.5,bp240727-69 10Hzprh_All_Variables.mat
5,10,4986.7,bp240727-69 10Hzprh_All_Variables.mat
10,15,2283.7,bp240727-69 10Hzprh_All_Variables.mat
15,20,3611.4,bp240727-69 10Hzprh_All_Variables.mat
20,25,3422.8,bp240727-69 10Hzprh_All_Variables.mat
25,30,3518.6,bp240727-69 10Hzprh_All_Variables.mat
30,35,3163.1,bp240727-69 10Hzprh_All_Variables.mat
35,40,2929.3,bp240727-69 10Hzprh_All_Variables.mat
40,45,2694.9,bp240727-69 10Hzprh_All_Variables.mat
45,50,2185,bp240727-69 10Hzprh_All_Variables.mat
50,55,476.7,bp240727-69 10Hzprh_All_Variables.mat
55,60,0,bp240727-69 10Hzprh_All_Variables.mat
60,65,0,bp240727-69 10Hzprh_All_Variables.mat
65,70,0,bp240727-69 10Hzprh_All_Variables.mat
70,75,0,bp240727-69 10Hzprh_All_Variables.mat
75,80,0,bp240727-69 10Hzprh_All_Variables.mat
80,85,0,bp240727-69 10Hzprh_All_Variables.mat
85,90,0,bp240727-69 10Hzprh_All_Variables.mat
90,95,0,bp240727-69 10Hzprh_All_Variables.mat
95,100,0,bp240727-69 10Hzprh_All_Variables.mat
