Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,15961.36,bp23_211a_prh50_auto.mat
5,10,22406.36,bp23_211a_prh50_auto.mat
10,15,1433.2,bp23_211a_prh50_auto.mat
15,20,1119.74,bp23_211a_prh50_auto.mat
20,25,1581.72,bp23_211a_prh50_auto.mat
25,30,1467.4,bp23_211a_prh50_auto.mat
30,35,458.82,bp23_211a_prh50_auto.mat
35,40,439.2,bp23_211a_prh50_auto.mat
40,45,468.78,bp23_211a_prh50_auto.mat
45,50,376.62,bp23_211a_prh50_auto.mat
50,55,183.08,bp23_211a_prh50_auto.mat
55,60,114.16,bp23_211a_prh50_auto.mat
60,65,0,bp23_211a_prh50_auto.mat
65,70,0,bp23_211a_prh50_auto.mat
70,75,0,bp23_211a_prh50_auto.mat
75,80,0,bp23_211a_prh50_auto.mat
80,85,0,bp23_211a_prh50_auto.mat
85,90,0,bp23_211a_prh50_auto.mat
90,95,0,bp23_211a_prh50_auto.mat
95,100,0,bp23_211a_prh50_auto.mat
