Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,199.2,bp23_206b_prh50_auto.mat
5,10,30.78,bp23_206b_prh50_auto.mat
10,15,22.52,bp23_206b_prh50_auto.mat
15,20,15.38,bp23_206b_prh50_auto.mat
20,25,15.64,bp23_206b_prh50_auto.mat
25,30,23.16,bp23_206b_prh50_auto.mat
30,35,44.96,bp23_206b_prh50_auto.mat
35,40,26.68,bp23_206b_prh50_auto.mat
40,45,77.64,bp23_206b_prh50_auto.mat
45,50,137.56,bp23_206b_prh50_auto.mat
50,55,254.98,bp23_206b_prh50_auto.mat
55,60,114.16,bp23_206b_prh50_auto.mat
60,65,38.52,bp23_206b_prh50_auto.mat
65,70,0,bp23_206b_prh50_auto.mat
70,75,0,bp23_206b_prh50_auto.mat
75,80,0,bp23_206b_prh50_auto.mat
80,85,0,bp23_206b_prh50_auto.mat
85,90,0,bp23_206b_prh50_auto.mat
90,95,0,bp23_206b_prh50_auto.mat
95,100,0,bp23_206b_prh50_auto.mat
