Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,659.98,bp24_210d_prh50_auto.mat
5,10,295.14,bp24_210d_prh50_auto.mat
10,15,164.24,bp24_210d_prh50_auto.mat
15,20,148.74,bp24_210d_prh50_auto.mat
20,25,170.56,bp24_210d_prh50_auto.mat
25,30,225.84,bp24_210d_prh50_auto.mat
30,35,340.46,bp24_210d_prh50_auto.mat
35,40,761.02,bp24_210d_prh50_auto.mat
40,45,1114.36,bp24_210d_prh50_auto.mat
45,50,829.88,bp24_210d_prh50_auto.mat
50,55,586.92,bp24_210d_prh50_auto.mat
55,60,328.56,bp24_210d_prh50_auto.mat
60,65,290.02,bp24_210d_prh50_auto.mat
65,70,142.24,bp24_210d_prh50_auto.mat
70,75,169.04,bp24_210d_prh50_auto.mat
75,80,121.58,bp24_210d_prh50_auto.mat
80,85,213.26,bp24_210d_prh50_auto.mat
85,90,39.32,bp24_210d_prh50_auto.mat
90,95,0,bp24_210d_prh50_auto.mat
95,100,0,bp24_210d_prh50_auto.mat
