Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,3620.22,bp23_214b_prh50_auto.mat
5,10,2436.86,bp23_214b_prh50_auto.mat
10,15,312.66,bp23_214b_prh50_auto.mat
15,20,185.46,bp23_214b_prh50_auto.mat
20,25,197.86,bp23_214b_prh50_auto.mat
25,30,291.32,bp23_214b_prh50_auto.mat
30,35,504.34,bp23_214b_prh50_auto.mat
35,40,788.7,bp23_214b_prh50_auto.mat
40,45,1893.42,bp23_214b_prh50_auto.mat
45,50,2537.5,bp23_214b_prh50_auto.mat
50,55,1123.18,bp23_214b_prh50_auto.mat
55,60,200.54,bp23_214b_prh50_auto.mat
60,65,70.6,bp23_214b_prh50_auto.mat
65,70,0,bp23_214b_prh50_auto.mat
70,75,0,bp23_214b_prh50_auto.mat
75,80,0,bp23_214b_prh50_auto.mat
80,85,0,bp23_214b_prh50_auto.mat
85,90,0,bp23_214b_prh50_auto.mat
90,95,0,bp23_214b_prh50_auto.mat
95,100,0,bp23_214b_prh50_auto.mat
