Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,51.7,bp24_210c_prh50_auto.mat
5,10,30.94,bp24_210c_prh50_auto.mat
10,15,21.54,bp24_210c_prh50_auto.mat
15,20,15.58,bp24_210c_prh50_auto.mat
20,25,11.14,bp24_210c_prh50_auto.mat
25,30,25.96,bp24_210c_prh50_auto.mat
30,35,32.2,bp24_210c_prh50_auto.mat
35,40,19.46,bp24_210c_prh50_auto.mat
40,45,26.58,bp24_210c_prh50_auto.mat
45,50,18.58,bp24_210c_prh50_auto.mat
50,55,17.2,bp24_210c_prh50_auto.mat
55,60,17.1,bp24_210c_prh50_auto.mat
60,65,18.12,bp24_210c_prh50_auto.mat
65,70,12.2,bp24_210c_prh50_auto.mat
70,75,9.28,bp24_210c_prh50_auto.mat
75,80,9.72,bp24_210c_prh50_auto.mat
80,85,14.68,bp24_210c_prh50_auto.mat
85,90,1.64,bp24_210c_prh50_auto.mat
90,95,0,bp24_210c_prh50_auto.mat
95,100,0,bp24_210c_prh50_auto.mat
