Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,36940.4,bp23_212d_prh50_auto.mat
5,10,10796.92,bp23_212d_prh50_auto.mat
10,15,4765.8,bp23_212d_prh50_auto.mat
15,20,2670.22,bp23_212d_prh50_auto.mat
20,25,2229.56,bp23_212d_prh50_auto.mat
25,30,2043.58,bp23_212d_prh50_auto.mat
30,35,1816.38,bp23_212d_prh50_auto.mat
35,40,1604.62,bp23_212d_prh50_auto.mat
40,45,936,bp23_212d_prh50_auto.mat
45,50,697.7,bp23_212d_prh50_auto.mat
50,55,509.12,bp23_212d_prh50_auto.mat
55,60,757.66,bp23_212d_prh50_auto.mat
60,65,132.38,bp23_212d_prh50_auto.mat
65,70,18.56,bp23_212d_prh50_auto.mat
70,75,0,bp23_212d_prh50_auto.mat
75,80,0,bp23_212d_prh50_auto.mat
80,85,0,bp23_212d_prh50_auto.mat
85,90,0,bp23_212d_prh50_auto.mat
90,95,0,bp23_212d_prh50_auto.mat
95,100,0,bp23_212d_prh50_auto.mat
