Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,86.02,bp24_205b_prh50_auto.mat
5,10,65.72,bp24_205b_prh50_auto.mat
10,15,39.54,bp24_205b_prh50_auto.mat
15,20,25.78,bp24_205b_prh50_auto.mat
20,25,41.04,bp24_205b_prh50_auto.mat
25,30,40.2,bp24_205b_prh50_auto.mat
30,35,36.96,bp24_205b_prh50_auto.mat
35,40,36.98,bp24_205b_prh50_auto.mat
40,45,43.74,bp24_205b_prh50_auto.mat
45,50,69.74,bp24_205b_prh50_auto.mat
50,55,19.94,bp24_205b_prh50_auto.mat
55,60,39.4,bp24_205b_prh50_auto.mat
60,65,4.62,bp24_205b_prh50_auto.mat
65,70,0,bp24_205b_prh50_auto.mat
70,75,0,bp24_205b_prh50_auto.mat
75,80,0,bp24_205b_prh50_auto.mat
80,85,0,bp24_205b_prh50_auto.mat
85,90,0,bp24_205b_prh50_auto.mat
90,95,0,bp24_205b_prh50_auto.mat
95,100,0,bp24_205b_prh50_auto.mat
