Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,389.66,bp24_210a_prh50_auto.mat
5,10,61.78,bp24_210a_prh50_auto.mat
10,15,51.52,bp24_210a_prh50_auto.mat
15,20,54.12,bp24_210a_prh50_auto.mat
20,25,82.72,bp24_210a_prh50_auto.mat
25,30,96.32,bp24_210a_prh50_auto.mat
30,35,144.32,bp24_210a_prh50_auto.mat
35,40,213.72,bp24_210a_prh50_auto.mat
40,45,271.92,bp24_210a_prh50_auto.mat
45,50,278.84,bp24_210a_prh50_auto.mat
50,55,179.88,bp24_210a_prh50_auto.mat
55,60,163.82,bp24_210a_prh50_auto.mat
60,65,86.72,bp24_210a_prh50_auto.mat
65,70,2.22,bp24_210a_prh50_auto.mat
70,75,0,bp24_210a_prh50_auto.mat
75,80,0,bp24_210a_prh50_auto.mat
80,85,0,bp24_210a_prh50_auto.mat
85,90,0,bp24_210a_prh50_auto.mat
90,95,0,bp24_210a_prh50_auto.mat
95,100,0,bp24_210a_prh50_auto.mat
