Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,885.6,bp23_213a_prh50_auto.mat
5,10,105.08,bp23_213a_prh50_auto.mat
10,15,78.28,bp23_213a_prh50_auto.mat
15,20,78.42,bp23_213a_prh50_auto.mat
20,25,74.38,bp23_213a_prh50_auto.mat
25,30,70.2,bp23_213a_prh50_auto.mat
30,35,77.84,bp23_213a_prh50_auto.mat
35,40,89.66,bp23_213a_prh50_auto.mat
40,45,56.42,bp23_213a_prh50_auto.mat
45,50,59.22,bp23_213a_prh50_auto.mat
50,55,65.96,bp23_213a_prh50_auto.mat
55,60,92.24,bp23_213a_prh50_auto.mat
60,65,109.3,bp23_213a_prh50_auto.mat
65,70,131.76,bp23_213a_prh50_auto.mat
70,75,280.1,bp23_213a_prh50_auto.mat
75,80,469.3,bp23_213a_prh50_auto.mat
80,85,556.1,bp23_213a_prh50_auto.mat
85,90,904.76,bp23_213a_prh50_auto.mat
90,95,593.12,bp23_213a_prh50_auto.mat
95,100,10.38,bp23_213a_prh50_auto.mat
