Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,237.02,bp23_212a_prh50_auto.mat
5,10,69.42,bp23_212a_prh50_auto.mat
10,15,62.02,bp23_212a_prh50_auto.mat
15,20,87.86,bp23_212a_prh50_auto.mat
20,25,77.3,bp23_212a_prh50_auto.mat
25,30,170.42,bp23_212a_prh50_auto.mat
30,35,187.32,bp23_212a_prh50_auto.mat
35,40,91.72,bp23_212a_prh50_auto.mat
40,45,54.88,bp23_212a_prh50_auto.mat
45,50,52.96,bp23_212a_prh50_auto.mat
50,55,44.12,bp23_212a_prh50_auto.mat
55,60,68.36,bp23_212a_prh50_auto.mat
60,65,94.96,bp23_212a_prh50_auto.mat
65,70,44.82,bp23_212a_prh50_auto.mat
70,75,0,bp23_212a_prh50_auto.mat
75,80,0,bp23_212a_prh50_auto.mat
80,85,0,bp23_212a_prh50_auto.mat
85,90,0,bp23_212a_prh50_auto.mat
90,95,0,bp23_212a_prh50_auto.mat
95,100,0,bp23_212a_prh50_auto.mat
