Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,379.72,bp24_209a_prh50_auto.mat
5,10,183.32,bp24_209a_prh50_auto.mat
10,15,88.74,bp24_209a_prh50_auto.mat
15,20,105.12,bp24_209a_prh50_auto.mat
20,25,120.5,bp24_209a_prh50_auto.mat
25,30,108.8,bp24_209a_prh50_auto.mat
30,35,117.34,bp24_209a_prh50_auto.mat
35,40,108.22,bp24_209a_prh50_auto.mat
40,45,117.04,bp24_209a_prh50_auto.mat
45,50,147.2,bp24_209a_prh50_auto.mat
50,55,162.28,bp24_209a_prh50_auto.mat
55,60,138.14,bp24_209a_prh50_auto.mat
60,65,98.48,bp24_209a_prh50_auto.mat
65,70,74.88,bp24_209a_prh50_auto.mat
70,75,61.66,bp24_209a_prh50_auto.mat
75,80,52.06,bp24_209a_prh50_auto.mat
80,85,59.04,bp24_209a_prh50_auto.mat
85,90,32.36,bp24_209a_prh50_auto.mat
90,95,7.32,bp24_209a_prh50_auto.mat
95,100,1.82,bp24_209a_prh50_auto.mat
