Depth_Lower,Depth_Upper,Time_Spent_sec,Source_File
0,5,37305.7,bp240724-69 10Hzprh.mat
5,10,1760.7,bp240724-69 10Hzprh.mat
10,15,2126.5,bp240724-69 10Hzprh.mat
15,20,3661.6,bp240724-69 10Hzprh.mat
20,25,1730.1,bp240724-69 10Hzprh.mat
25,30,687.3,bp240724-69 10Hzprh.mat
30,35,543.5,bp240724-69 10Hzprh.mat
35,40,646.8,bp240724-69 10Hzprh.mat
40,45,0,bp240724-69 10Hzprh.mat
45,50,0,bp240724-69 10Hzprh.mat
50,55,0,bp240724-69 10Hzprh.mat
55,60,0,bp240724-69 10Hzprh.mat
60,65,0,bp240724-69 10Hzprh.mat
65,70,0,bp240724-69 10Hzprh.mat
70,75,0,bp240724-69 10Hzprh.mat
75,80,0,bp240724-69 10Hzprh.mat
80,85,0,bp240724-69 10Hzprh.mat
85,90,0,bp240724-69 10Hzprh.mat
90,95,0,bp240724-69 10Hzprh.mat
95,100,0,bp240724-69 10Hzprh.mat
